,Strain,Culture,Eu,Total,Replicate
0,RSC017,OP50,1,50,1
1,RSC017,OP50,5,50,2
2,RSC017,OP50,1,50,3
3,RSC017,Novo,44,50,1
4,RSC017,Novo,47,50,2
5,RSC017,Novo,42,50,3
